date,daily_tests,daily_cases,cumul_tests,cumul_cases,hospitalized,icu,daily_deceased,cumul_deceased,daily_released,cumul_released,daily_vld,daily_wal,daily_bru,cumul_vld,cumul_wal,cumul_bru
01/03/2020,,2,,2,,,,,,,,,,,,
02/03/2020,56,6,56,8,,,,,,,,,,,,
03/03/2020,282,5,338,13,,,,,,,,,,,,
04/03/2020,477,10,815,23,,,,,,,,,,,,
05/03/2020,631,27,1446,50,,,,,,,,,,,,
06/03/2020,703,59,2149,109,,,,,,,,,,,,
07/03/2020,1009,60,3158,169,,,,,,,,,,,,
08/03/2020,407,31,3565,200,,,,,,,,,,,,
09/03/2020,400,39,3965,239,,,,,,,,,,,,
10/03/2020,551,28,4516,267,,20,,,,,,,,,,
11/03/2020,765,47,5281,314,,,3,3,,,,,,,,
12/03/2020,1015,85,6296,399,,,0,3,,,,,,,,
13/03/2020,1420,160,7716,559,,,0,3,,,,,,,,
14/03/2020,2413,133,10129,689,97,24,1,4,,,179,90,13,433,174,71
15/03/2020,1989,197,12118,886,163,33,0,4,,,137,28,27,570,202,98
16/03/2020,1164,172,13282,1058,252,53,1,5,,,80,68,17,650,270,115
17/03/2020,1699,185,14981,1243,361,79,5,10,14,14,106,38,33,756,303,153
18/03/2020,1933,243,16914,1486,496,100,4,14,31,45,133,66,41,889,369,194
19/03/2020,2382,309,19296,1795,634,130,7,21,51,96,145,95,48,1034,464,242
20/03/2020,2955,462,22251,2257,837,164,16,37,48,144,302,90,43,1336,554,285
21/03/2020,2575,558,24826,2815,1089,238,30,67,58,202,292,200,50,1628,754,335
22/03/2020,1987,586,26813,3401,1380,290,8,75,76,278,412,99,70,2040,853,405
23/03/2020,1192,342,28005,3743,1643,322,13,88,61,339,173,118,45,2213,971,450
24/03/2020,2655,526,30660,4269,1859,381,34,122,60,399,381,87,38,2594,1058,488
25/03/2020,3344,668,34004,4937,2152,474,56,178,115,514,429,176,57,3023,1234,545
26/03/2020,3651,1298,37655,6235,2652,605,42,220,128,642,857,256,164,3880,1490,709
27/03/2020,3748,1049,41403,7284,3042,690,69,289,183,825,772,131,137,4652,1621,846
28/03/2020,3972,1850,45375,9134,3717,789,64,353,205,1030,823,875,134,5475,2496,980
29/03/2020,3337,1702,48712,10836,4138,867,78,431,296,1326,906,691,85,6381,3187,1065
30/03/2020,2034,1063,50746,11899,4524,927,82,513,168,1494,683,164,198,7064,3351,1263
31/03/2020,3334,876,54080,12775,4920,1021,98,705,168,1662,467,203,189,7531,3554,1452
01/04/2020,4978,1189,59058,13964,4995,1088,123,828,436,2098,688,349,128,8219,3903,1580
02/04/2020,4424,1384,63482,15348,5376,1144,183,1011,363,2461,912,317,137,9131,4220,1717
03/04/2020,4306,1422,67788,16770,5552,1205,132,1143,377,2838,865,374,167,9996,4594,1884
04/04/2020,3842,1661,71630,18431,5678,1245,140,1283,375,3213,831,652,162,10827,5246,2046
05/04/2020,,1260,,19691,5735,1261,164,1447,504,3717,776,301,169,11603,5547,2215
06/04/2020,,1123,,20814,5840,1257,185,1632,235,3952,686,262,137,12289,5809,2352
07/04/2020,,1380,,22194,6012,1260,162,2035,171,4157,587,734,62,12876,6543,2414
08/04/2020,,1209,,23403,5688,1276,205,2240,524,4681,544,548,101,13420,7091,2515
09/04/2020,,1580,,24983,5590,1285,283,2523,483,5164,1049,370,149,14469,7461,2664
10/04/2020,,1684,,26667,5610,1278,496,3019,404,5568,915,570,178,15384,8031,2842
11/04/2020,,1351,,28018,5635,1262,327,3346,418,5986,756,437,149,16140,8468,2991
12/04/2020,,1629,,29647,5323,1223,268,3600,477,6463,1003,461,143,17143,8929,3134
13/04/2020,,942,,30589,5393,1234,303,3903,239,6707,591,235,113,17734,9164,3247
14/04/2020,,530,,31119,5536,1223,262,4151,161,6868,332,129,62,18066,9293,3309
15/04/2020,,2454,,33573,5524,1204,283,4440,239,7107,1600,706,95,19666,9999,3404